transformer_id,transformer_type,risk_score,risk_level,root_cause,maintenance_action
36,Distribution Transformer,0.11271171,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
2,Distribution Transformer,0.11247801,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
42,Distribution Transformer,0.11245699,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
20,Distribution Transformer,0.111441985,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
12,Distribution Transformer,0.1113644,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.11134765,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
28,Distribution Transformer,0.11085197,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
29,Distribution Transformer,0.11046217,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
28,Distribution Transformer,0.110301405,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
1,Distribution Transformer,0.11018184,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
6,Distribution Transformer,0.109430276,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.10927618,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
12,Distribution Transformer,0.10923147,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
49,Distribution Transformer,0.10908638,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.10899873,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
13,Distribution Transformer,0.10893257,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
11,Distribution Transformer,0.108663924,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
22,Distribution Transformer,0.10858087,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
10,Distribution Transformer,0.10797668,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
22,Distribution Transformer,0.107534796,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
47,Distribution Transformer,0.107260056,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
5,Distribution Transformer,0.10689685,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
31,Distribution Transformer,0.106423214,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
35,Distribution Transformer,0.10525532,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
29,Distribution Transformer,0.10516979,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
20,Distribution Transformer,0.104970925,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.10490393,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
18,Distribution Transformer,0.104796454,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
25,Distribution Transformer,0.10439526,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
20,Distribution Transformer,0.1043707,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
37,Distribution Transformer,0.103906475,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
39,Distribution Transformer,0.1034174,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
5,Distribution Transformer,0.10330577,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
12,Distribution Transformer,0.10307663,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
30,Distribution Transformer,0.10297716,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
14,Distribution Transformer,0.1025451,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
30,Distribution Transformer,0.10188605,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
36,Distribution Transformer,0.10102705,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
47,Distribution Transformer,0.10033764,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
36,Distribution Transformer,0.10031372,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
26,Distribution Transformer,0.09992456,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
2,Distribution Transformer,0.09980915,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
29,Distribution Transformer,0.09967036,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
44,Distribution Transformer,0.099639766,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
36,Distribution Transformer,0.09935544,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
41,Distribution Transformer,0.09929028,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
20,Distribution Transformer,0.098291725,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
21,Distribution Transformer,0.09827004,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
35,Distribution Transformer,0.097793266,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
36,Distribution Transformer,0.09719252,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
30,Distribution Transformer,0.09686786,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.09684982,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
49,Distribution Transformer,0.096805684,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
40,Distribution Transformer,0.09641766,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
44,Distribution Transformer,0.09618176,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
42,Distribution Transformer,0.09611758,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
14,Distribution Transformer,0.09594894,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
42,Distribution Transformer,0.094502695,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
39,Distribution Transformer,0.09350809,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
12,Distribution Transformer,0.09334991,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
3,Distribution Transformer,0.09268697,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
12,Distribution Transformer,0.09268537,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
2,Distribution Transformer,0.09250366,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
6,Distribution Transformer,0.09239194,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
1,Distribution Transformer,0.09205606,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
28,Distribution Transformer,0.09163805,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
23,Distribution Transformer,0.09123113,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
24,Distribution Transformer,0.09091686,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
4,Distribution Transformer,0.09045941,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
15,Distribution Transformer,0.089895085,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
8,Distribution Transformer,0.08982579,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
1,Distribution Transformer,0.089676976,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
6,Distribution Transformer,0.089398906,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
18,Distribution Transformer,0.089369535,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
30,Distribution Transformer,0.08933132,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
35,Distribution Transformer,0.08911747,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
45,Distribution Transformer,0.08874746,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
10,Distribution Transformer,0.088743836,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
33,Distribution Transformer,0.08855784,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
16,Distribution Transformer,0.08853313,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
9,Distribution Transformer,0.08843372,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
34,Distribution Transformer,0.0879768,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
27,Distribution Transformer,0.08781804,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
23,Distribution Transformer,0.08724325,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
10,Distribution Transformer,0.08717591,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
19,Distribution Transformer,0.086923376,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
15,Distribution Transformer,0.08686591,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
32,Distribution Transformer,0.08654205,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
1,Distribution Transformer,0.0861658,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
46,Distribution Transformer,0.08582251,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
32,Distribution Transformer,0.085735284,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
7,Distribution Transformer,0.08573321,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
15,Distribution Transformer,0.08532498,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
6,Distribution Transformer,0.08529662,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
47,Distribution Transformer,0.0850945,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
8,Distribution Transformer,0.08499271,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
7,Distribution Transformer,0.084955335,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
16,Distribution Transformer,0.08463116,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.08426354,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
42,Distribution Transformer,0.084153384,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
41,Distribution Transformer,0.08318831,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
10,Distribution Transformer,0.08310341,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
13,Distribution Transformer,0.083019085,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
25,Distribution Transformer,0.08281967,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.08278511,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
40,Distribution Transformer,0.08252312,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
41,Distribution Transformer,0.082509734,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
7,Distribution Transformer,0.08229182,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
49,Distribution Transformer,0.08226334,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
23,Distribution Transformer,0.08206183,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
34,Distribution Transformer,0.08137697,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
42,Distribution Transformer,0.08126189,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
45,Distribution Transformer,0.08099126,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
32,Distribution Transformer,0.08051708,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
32,Distribution Transformer,0.08034348,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
6,Distribution Transformer,0.07964973,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
11,Distribution Transformer,0.07962792,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
13,Distribution Transformer,0.07947426,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
28,Distribution Transformer,0.07927824,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
13,Distribution Transformer,0.079147324,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
7,Distribution Transformer,0.07914669,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
34,Distribution Transformer,0.07852539,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
3,Distribution Transformer,0.078459576,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
34,Distribution Transformer,0.07828329,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
27,Distribution Transformer,0.07814533,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
2,Distribution Transformer,0.07736882,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
35,Distribution Transformer,0.07709337,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
7,Distribution Transformer,0.07706289,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
42,Distribution Transformer,0.076960854,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
37,Distribution Transformer,0.076559335,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
33,Distribution Transformer,0.076335505,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
26,Distribution Transformer,0.076268286,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
10,Distribution Transformer,0.076102465,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
31,Distribution Transformer,0.0760787,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
27,Distribution Transformer,0.07604733,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
25,Distribution Transformer,0.0759156,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
11,Distribution Transformer,0.075831175,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
47,Distribution Transformer,0.07576437,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
40,Distribution Transformer,0.07553004,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
38,Distribution Transformer,0.07509052,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
45,Distribution Transformer,0.07467732,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
20,Distribution Transformer,0.0746043,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
43,Distribution Transformer,0.074189566,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.074121244,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
24,Distribution Transformer,0.074079156,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
20,Distribution Transformer,0.07406781,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
45,Distribution Transformer,0.07401949,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
22,Distribution Transformer,0.073811665,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
16,Distribution Transformer,0.07367948,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.073550396,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.073493816,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
37,Distribution Transformer,0.07283861,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
14,Distribution Transformer,0.072792225,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.072776645,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
24,Distribution Transformer,0.072660476,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
36,Distribution Transformer,0.07223169,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
9,Distribution Transformer,0.07201664,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
10,Distribution Transformer,0.07200644,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
17,Distribution Transformer,0.07184249,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
28,Distribution Transformer,0.07156362,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
47,Distribution Transformer,0.071394965,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
5,Distribution Transformer,0.07095663,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
33,Distribution Transformer,0.07055089,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
23,Distribution Transformer,0.0704802,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
47,Distribution Transformer,0.07047418,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
24,Distribution Transformer,0.07047255,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
47,Distribution Transformer,0.07026732,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.07025521,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
17,Distribution Transformer,0.07017364,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
1,Distribution Transformer,0.070135966,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
5,Distribution Transformer,0.06999502,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
48,Distribution Transformer,0.069990434,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
40,Distribution Transformer,0.06998773,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
24,Distribution Transformer,0.069122866,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
47,Distribution Transformer,0.06899932,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
41,Distribution Transformer,0.06866918,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
19,Distribution Transformer,0.06850731,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
24,Distribution Transformer,0.06815452,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
14,Distribution Transformer,0.068042986,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
21,Distribution Transformer,0.06791188,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
49,Distribution Transformer,0.06738935,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
31,Distribution Transformer,0.06725884,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
39,Distribution Transformer,0.06721627,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
45,Distribution Transformer,0.067106895,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.066986844,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
27,Distribution Transformer,0.06693333,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
11,Distribution Transformer,0.0668611,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
33,Distribution Transformer,0.066472486,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
2,Distribution Transformer,0.06641235,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
29,Distribution Transformer,0.06638251,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
21,Distribution Transformer,0.0663003,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
30,Distribution Transformer,0.06603309,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
38,Distribution Transformer,0.06590758,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
49,Distribution Transformer,0.06577732,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
7,Distribution Transformer,0.06560234,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
7,Distribution Transformer,0.065344974,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
23,Distribution Transformer,0.064976946,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
7,Distribution Transformer,0.064901195,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
17,Distribution Transformer,0.06486134,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
44,Distribution Transformer,0.06467849,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
27,Distribution Transformer,0.06452108,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
3,Distribution Transformer,0.064443596,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
14,Distribution Transformer,0.06429746,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
29,Distribution Transformer,0.06428045,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
8,Distribution Transformer,0.06428029,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
28,Distribution Transformer,0.063712634,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
7,Distribution Transformer,0.06334934,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
49,Distribution Transformer,0.06334092,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
19,Distribution Transformer,0.06312968,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
41,Distribution Transformer,0.06292247,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
45,Distribution Transformer,0.0626983,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
6,Distribution Transformer,0.062661014,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.06256261,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
29,Distribution Transformer,0.06256172,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
2,Distribution Transformer,0.06217283,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
15,Distribution Transformer,0.06215854,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
45,Distribution Transformer,0.062140077,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
7,Distribution Transformer,0.062127646,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
12,Distribution Transformer,0.06211773,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
10,Distribution Transformer,0.06189729,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
38,Distribution Transformer,0.06177021,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
45,Distribution Transformer,0.061602525,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
39,Distribution Transformer,0.061592177,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
39,Distribution Transformer,0.061513394,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
40,Distribution Transformer,0.061251666,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
3,Distribution Transformer,0.060583033,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
8,Distribution Transformer,0.06052748,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
20,Distribution Transformer,0.060492273,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
47,Distribution Transformer,0.060425743,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
36,Distribution Transformer,0.060315125,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
45,Distribution Transformer,0.059749637,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
3,Distribution Transformer,0.059722412,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
2,Distribution Transformer,0.05945075,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
29,Distribution Transformer,0.05941335,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
17,Distribution Transformer,0.05941275,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.05936373,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
8,Distribution Transformer,0.05919275,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
23,Distribution Transformer,0.058940154,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
29,Distribution Transformer,0.058895748,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
34,Distribution Transformer,0.058697622,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
2,Distribution Transformer,0.058426123,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
30,Distribution Transformer,0.058381286,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
49,Distribution Transformer,0.058274228,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
48,Distribution Transformer,0.057789847,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
39,Distribution Transformer,0.05769133,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
39,Distribution Transformer,0.057445575,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
33,Distribution Transformer,0.05723509,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
35,Distribution Transformer,0.057137176,Low,Voltage Instability caused by abnormal voltage fluctuation,Stable condition — continue routine monitoring
13,Distribution Transformer,0.0568928,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.05688614,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
40,Distribution Transformer,0.056766074,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
1,Distribution Transformer,0.056754984,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
13,Distribution Transformer,0.056741953,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
12,Distribution Transformer,0.056573033,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
20,Distribution Transformer,0.05649855,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
35,Distribution Transformer,0.05605914,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
25,Distribution Transformer,0.055926852,Low,Electrical Stress caused by high current flow,Stable condition — continue routine monitoring
29,Distribution Transformer,0.05585625,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
37,Distribution Transformer,0.055734448,Low,Sudden Load Variation caused by irregular demand pattern,Stable condition — continue routine monitoring
19,Distribution Transformer,0.05571995,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
26,Distribution Transformer,0.055622995,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
46,Distribution Transformer,0.055601925,Low,General Degradation Risk based on combined operating conditions,Stable condition — continue routine monitoring
39,Distribution Transformer,0.055014197,Low,Thermal Overload caused by excessive load and temperature stress,Stable condition — continue routine monitoring
